,id,vri_id,mi_number,mi_modification,mi_manufactureYear,mi_signCipher,mi_Owner_name,org_title,fsa_ral_regNumbers_regNumber,mitypeNumber,mitypeTitle,mit_owner_CountrySI,mit_owner_SettlementSI,mit_owner_ManufacturerSI,mit_MP_doc,mit_MP_link,mit_MPISI,docTitle,mit_id,mitypeURL,mitypeType,verification_date,valid_date,publication_date,vriType,result_docnum,result_doc_type,additional_info
0,1,172632977,161954,Питер...,,БЯ,МАИ+3Н,ФЕДЕР...,RA.RU...,46814-11,Расхо...,РОССИЯ,г.С.-...,ООО &...,2024-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/5b769bc2-1a99-40da-8b0c-2ee4825614de,4 года,МП 25...,357947,https://fgis.gost.ru/fundmetrology/registry/4/items/357947,Питер...,25.07.2022,24.07.2026,,Периодическая,C-БЯ/...,Извещение о непригодности,"0,25 л/имп"
1,2,172632978,154478,Питер...,,БЯ,МАИ+3Н,ФЕДЕР...,RA.RU...,46814-11,Расхо...,РОССИЯ,г.С.-...,ООО &...,2024-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/5b769bc2-1a99-40da-8b0c-2ee4825614de,4 года,МП 25...,357947,https://fgis.gost.ru/fundmetrology/registry/4/items/357947,Питер...,25.07.2022,24.07.2026,,Периодическая,C-БЯ/...,Извещение о непригодности,"0,25 л/имп"
2,3,172632979,153857,Питер...,,БЯ,МАИ+3Н,ФЕДЕР...,RA.RU...,46814-11,Расхо...,РОССИЯ,г.С.-...,ООО &...,2024-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/5b769bc2-1a99-40da-8b0c-2ee4825614de,4 года,МП 25...,357947,https://fgis.gost.ru/fundmetrology/registry/4/items/357947,Питер...,25.07.2022,24.07.2026,,Периодическая,C-БЯ/...,Извещение о непригодности,"0,25 л/имп"
3,4,172632981,164427,Питер...,,БЯ,МАИ+3Н,ФЕДЕР...,RA.RU...,46814-11,Расхо...,РОССИЯ,г.С.-...,ООО &...,2024-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/5b769bc2-1a99-40da-8b0c-2ee4825614de,4 года,МП 25...,357947,https://fgis.gost.ru/fundmetrology/registry/4/items/357947,Питер...,25.07.2022,24.07.2026,,Периодическая,C-БЯ/...,Извещение о непригодности,"0,25 л/имп"
4,5,172632983,154157,Питер...,,БЯ,МАИ+3Н,ФЕДЕР...,RA.RU...,46814-11,Расхо...,РОССИЯ,г.С.-...,ООО &...,2024-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/5b769bc2-1a99-40da-8b0c-2ee4825614de,4 года,МП 25...,357947,https://fgis.gost.ru/fundmetrology/registry/4/items/357947,Питер...,25.07.2022,24.07.2026,,Периодическая,C-БЯ/...,Извещение о непригодности,"0,25 л/имп"
5,6,172632984,161095,Питер...,,БЯ,МАИ+3Н,ФЕДЕР...,RA.RU...,46814-11,Расхо...,РОССИЯ,г.С.-...,ООО &...,2024-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/5b769bc2-1a99-40da-8b0c-2ee4825614de,4 года,МП 25...,357947,https://fgis.gost.ru/fundmetrology/registry/4/items/357947,Питер...,25.07.2022,24.07.2026,,Периодическая,C-БЯ/...,Извещение о непригодности,"0,25 л/имп"
6,7,113812494,95190812,Карат...,,ГФЕ,ООО &...,ФЕДЕР...,RA.RU...,44424-10,Расхо...,РОССИЯ,г.Ека...,ООО Н...,2021-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/1cecc6a1-7119-4b9b-b3bb-d6dff44aba64,4 года,МП 25...,355291,https://fgis.gost.ru/fundmetrology/registry/4/items/355291,КАРАТ,24.11.2021,,,Периодическая,И-ГФЕ...,Извещение о непригодности,
7,8,268830019,42113214,25-Т1...,,ВРК,Исмаи...,ОБЩЕС...,1462,44424-12,Расхо...,РОССИЯ,г. Ек...,Общес...,2023-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/9981e4bf-ce0c-4fdd-85f0-ce57c61abb87,4 года,МП 60...,355292,https://fgis.gost.ru/fundmetrology/registry/4/items/355292,КАРАТ...,04.08.2023,03.08.2027,,Первичная поверка,C-ВРК...,Извещение о непригодности,
8,9,95479072,156204,РСМ-0...,,БЯ,МАИ+3Н,ФЕДЕР...,RA.RU...,19714-05,Расхо...,РОССИЯ,г.Москва,ООО Н...,,,4 года,МП.МН...,321577,https://fgis.gost.ru/fundmetrology/registry/4/items/321577,РСМ-05,20.09.2021,19.09.2025,,Периодическая,C-БЯ/...,Извещение о непригодности,Вас импульса 10 л/имп
9,10,95479073,176064,РСМ-0...,,БЯ,МАИ+3Н,ФЕДЕР...,RA.RU...,19714-05,Расхо...,РОССИЯ,г.Москва,ООО Н...,,,4 года,МП.МН...,321577,https://fgis.gost.ru/fundmetrology/registry/4/items/321577,РСМ-05,20.09.2021,19.09.2025,,Периодическая,C-БЯ/...,Извещение о непригодности,Вас импульса 10 л/имп
10,11,298056858,735319,ЭРСВ-...,,БГ,Индив...,ФЕДЕР...,RA.RU...,20293-05,Расхо...,РОССИЯ,г.С.-...,ЗАО &...,,,4 год...,В41.0...,322643,https://fgis.gost.ru/fundmetrology/registry/4/items/322643,ВЗЛЕТ ЭР,29.11.2023,28.11.2027,,Периодическая,C-БГ/...,Извещение о непригодности,
11,12,298056859,735281,ЭРСВ-...,,БГ,Индив...,ФЕДЕР...,RA.RU...,20293-05,Расхо...,РОССИЯ,г.С.-...,ЗАО &...,,,4 год...,В41.0...,322643,https://fgis.gost.ru/fundmetrology/registry/4/items/322643,ВЗЛЕТ ЭР,29.11.2023,28.11.2027,,Периодическая,C-БГ/...,Извещение о непригодности,
12,13,365415444,08001692,ВПР Д...,,ЕЖЖ,ИП Ис...,ОБЩЕС...,RA.RU...,18437-05,Счетч...,РОССИЯ,г.Москва,ЗАО &...,2022-...,https://fgis.gost.ru/fundmetrology/api/downloadfile/00c7c49a-3357-46f8-b8a0-a8f36378833c,4 года,ИВКА....,319368,https://fgis.gost.ru/fundmetrology/registry/4/items/319368,ВРТК-...,12.08.2024,11.08.2028,,Периодическая,C-ЕЖЖ...,Извещение о непригодности,
